2025-07-23 12:47:36 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 12:47:38 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 12:47:39 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 12:47:39 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 12:47:39 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 12:47:40 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 12:47:40 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 12:47:41 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 12:47:41 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 12:47:41 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 12:47:41 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 12:47:41 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 12:47:42 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 12:47:49 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 12:50:17 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 14:41:23 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 14:41:23 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 14:41:23 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 14:41:23 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 14:41:23 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 14:41:23 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 14:41:23 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 17:50:45 - Product sold - ID: 1, Name: Demo Product 1, Price: $10.99
2025-07-23 17:50:45 - Product sold - ID: 2, Name: Demo Product 2, Price: $19.99
2025-07-23 17:50:45 - Product sold - ID: 3, Name: Demo Product 3, Price: $15.99
